PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other 
E14001175,Clapham and Brixton Hill,London,11.99,53.07,15.86,8.05,4.82,0,0,6.20,8.57,40.72,6.57,2.19,1.71,0,0,1.68,16.19,65.54,28.24,17.66,9.68,0,0,14.15 
E14001176,Colchester,East of England,27.64,37.23,12.54,6.22,14.13,0,0,2.25,21.02,27.55,5.97,1.70,7.08,0,0,0.53,34.66,46.84,21.67,14.18,24.36,0,0,5.86 
E14001177,Colne Valley,Yorkshire and The Humber,26.19,46.09,2.86,3.37,19.80,0,0,1.68,19.33,35.51,0.65,0.44,10.23,0,0,0.37,33.41,57.17,6.96,10.46,31.03,0,0,5.43 
E14001178,Congleton,North West,30.32,41.20,5.23,10.44,11.51,0,0,1.29,22.87,29.72,1.58,2.55,4.99,0,0,0.25,37.60,52.13,11.60,24.75,21.79,0,0,3.64 
E14001179,Corby and East Northamptonshire,East Midlands,29.21,51.76,2.65,0.36,14.14,0,0,1.88,21.87,42.03,0.73,0.03,6.65,0,0,0.42,37.01,60.98,6.14,1.42,24.78,0,0,5.01 
E14001180,Coventry East,West Midlands,20.08,46.35,8.36,10.40,10.77,0,0,4.03,15.07,34.56,3.04,3.54,5.08,0,0,1.10,26.01,57.51,15.41,20.41,18.45,0,0,9.73 
E14001181,Coventry North West,West Midlands,22.91,55.73,3.21,4.98,11.12,0,0,2.06,17.21,45.57,0.92,1.29,5.24,0,0,0.48,29.36,65.28,6.90,11.65,18.88,0,0,5.55 
E14001182,Coventry South,West Midlands,22.20,52.49,7.69,5.34,10.06,0,0,2.22,16.78,41.70,2.75,1.06,4.47,0,0,0.44,27.98,62.62,15.94,13.34,17.65,0,0,6.21 
E14001183,Cramlington and Killingworth,North East,17.39,46.09,3.88,18.76,11.72,0,0,2.16,12.23,33.12,1.09,7.46,5.35,0,0,0.41,23.30,57.63,9.24,35.54,21.72,0,0,6.60 
E14001184,Crawley,South East,30.30,43.46,3.30,10.73,9.72,0,0,2.48,23.77,33.74,1.04,4.08,4.14,0,0,0.66,37.25,53.82,7.20,21.21,17.58,0,0,6.39 
E14001185,Crewe and Nantwich,North West,29.99,51.42,2.84,4.03,9.87,0,0,1.86,23.16,40.92,0.63,0.70,4.25,0,0,0.41,37.04,61.86,6.93,11.53,18.13,0,0,5.05 
E14001186,Croydon East,London,26.20,46.61,8.85,4.29,14.05,0,0,0,19.84,36.39,3.54,0.79,6.63,0,0,0,32.91,56.64,17.04,11.22,24.27,0,0,0 
E14001187,Croydon South,London,31.36,46.65,5.67,4.78,9.54,0,0,2.00,23.87,36.85,1.71,0.89,3.96,0,0,0.44,38.68,56.49,12.77,12.23,17.66,0,0,5.34 
