PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001178,Congleton,North West,34.62,38.76,6.72,6.23,12.25,0,0,1.36,27.12,26.22,3.31,1.76,5.49,0,0,0.28,41.86,49.63,11.40,16.11,21.97,0,0,3.79
E14001179,Corby and East Northamptonshire,East Midlands,28.59,46.61,4.41,3.29,14.97,0,0,2.08,21.91,36.21,2.04,0.70,7.66,0,0,0.43,35.50,56.51,7.96,8.60,24.24,0,0,5.42
E14001180,Coventry East,West Midlands,23.71,48.32,8.70,3.36,12.25,0,0,3.63,18.51,38.09,4.41,0.97,5.80,0,0,0.89,29.69,57.89,14.82,7.65,20.55,0,0,8.75
E14001181,Coventry North West,West Midlands,20.37,59.82,3.36,3.70,10.58,0,0,2.12,15.87,50.02,1.51,1.17,5.07,0,0,0.49,25.30,69.10,6.21,8.49,18.59,0,0,5.50
E14001182,Coventry South,West Midlands,22.62,53.58,8.30,2.93,9.91,0,0,2.62,17.13,43.02,4.20,0.72,4.94,0,0,0.62,28.68,64.00,14.11,7.36,17.93,0,0,6.42
E14001183,Cramlington and Killingworth,North East,20.80,50.34,6.20,7.17,13.34,0,0,2.12,15.47,39.00,2.95,2.17,6.54,0,0,0.43,26.49,61.03,10.91,16.20,22.00,0,0,5.95
E14001184,Crawley,South East,30.30,46.02,4.71,6.58,9.77,0,0,2.60,23.29,36.09,2.20,2.51,3.81,0,0,0.58,37.32,56.61,8.45,13.90,19.00,0,0,6.64
E14001185,Crewe and Nantwich,North West,28.43,48.21,4.28,3.96,12.46,0,0,2.62,22.14,37.34,1.89,1.12,5.50,0,0,0.57,35.57,58.84,7.99,9.06,21.94,0,0,6.99
E14001186,Croydon East,London,23.41,52.45,7.46,3.62,10.64,0,0,2.40,17.53,42.44,3.69,1.04,4.68,0,0,0.61,29.69,62.14,13.16,8.72,20.47,0,0,5.93
E14001187,Croydon South,London,33.71,43.13,8.47,4.20,8.42,0,0,2.04,26.64,32.37,4.35,1.10,3.47,0,0,0.40,41.60,53.74,14.04,10.12,16.38,0,0,5.46
E14001188,Croydon West,London,21.30,56.02,6.65,3.59,6.68,0,0,5.72,16.54,45.44,3.10,0.95,2.76,0,0,1.69,26.41,65.75,11.44,8.47,12.62,0,0,13.66
E14001189,Dagenham and Rainham,London,23.44,49.28,6.10,2.04,12.52,0,0,6.59,17.15,36.14,2.57,0.44,5.36,0,0,1.93,30.82,60.45,11.47,5.60,23.62,0,0,15.93
E14001190,Darlington,North East,26.32,44.46,4.53,6.46,14.99,0,0,3.15,20.27,33.86,2.05,2.18,7.12,0,0,0.75,32.75,54.26,8.30,14.43,25.01,0,0,8.53
